host_id,host_name,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value
838848,Sarah,Brooklyn,NY,11205,United States,40.69075031,-73.97192375,Apartment,Entire home/apt,3,1,1,2,Real Bed,,$133.00 ,365,30,90,9,10,9
1708922,Molly,Brooklyn,NY,11222,United States,40.72547998,-73.9461794,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$169.00 ,284,6,100,10,10,10
255748,Michelle,Brooklyn,NY,11233,United States,40.6729217,-73.91307535,House,Private room,1,2,1,1,Real Bed,,$50.00 ,274,54,94,9,8,9
3787592,Neil,Brooklyn,NY,11222,United States,40.72649204,-73.95519709,Apartment,Entire home/apt,2,1,2,1,Real Bed,1000,$142.00 ,351,5,100,9,10,9
8623519,Sophie,Brooklyn,NY,11211,United States,40.71575479,-73.95573829,Apartment,Private room,2,1,1,1,Real Bed,,$85.00 ,28,1,100,10,10,10
5424141,Wendy,New York,NY,10027,United States,40.80500437,-73.94483503,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,850,$125.00 ,346,3,100,9,9,9
700008,Brandon,New York,NY,10022,United States,40.75444261,-73.96906688,Apartment,Entire home/apt,2,,1,1,Real Bed,,$175.00 ,331,36,90,9,10,9
2454614,Tom,Brooklyn,NY,11211,United States,40.71134392,-73.96052811,Apartment,Private room,2,1,1,1,Real Bed,,$85.00 ,365,33,95,9,10,9
3577565,Achiya,New York,NY,10024,United States,40.78942979,-73.97898774,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$140.00 ,23,0,,,,
10124527,Matty,New York,NY,10037,United States,40.81091778,-73.94073536,Apartment,Entire home/apt,3,1,1,2,Real Bed,,$195.00 ,365,1,97,10,8,10
1812871,Karen,Bronx,NY,10455,United States,40.81610845,-73.89909446,Apartment,Entire home/apt,5,1,2,2,Real Bed,,$120.00 ,363,23,93,9,8,10
24911114,Ruben,New York,NY,11220,United States,40.63708664,-74.02527395,Apartment,Private room,2,1,1,1,Real Bed,,$99.00 ,277,0,,,,
4087416,Julian,Brooklyn,NY,11249,United States,40.71287167,-73.96433632,Apartment,Private room,2,1,1,1,Real Bed,,$100.00 ,310,32,89,9,9,9
5592626,Brianne,Brooklyn,NY,11206,United States,40.69774736,-73.93389232,Apartment,Entire home/apt,2,1,0,1,Real Bed,,$85.00 ,347,3,90,8,9,7
807190,Elisa,Brooklyn,NY,11216,United States,40.67433783,-73.9546141,Apartment,Private room,2,1,1,1,Real Bed,,$40.00 ,219,0,,,,
6281034,Venera,Brooklyn,NY,11211,United States,40.71143959,-73.96160924,Apartment,Private room,2,1,1,1,Real Bed,,$110.00 ,294,21,96,10,10,9
643114,Manuel,New York,NY,10026,United States,40.8044212,-73.95238609,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$117.00 ,346,2,97,10,8,10
11215365,Ashley,Brooklyn,NY,11217,United States,40.68613409,-73.98126589,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$145.00 ,363,6,97,9,9,9
5942292,Monique,Brooklyn,NY,11216,United States,40.68193714,-73.94067866,Apartment,Entire home/apt,6,1,1,6,Real Bed,,$75.00 ,365,5,87,8,8,8
2971534,Ramiro,New York,NY,10016,United States,40.7474812,-73.98239466,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$445.00 ,359,16,99,10,10,10
656594,C,New York,NY,10075,United States,40.7694072,-73.95049759,Apartment,Entire home/apt,4,1,1,2,Real Bed,,$99.00 ,284,99,91,8,9,9
1507558,Ed,New York,NY,10002,United States,40.71879473,-73.9895761,Apartment,Private room,2,1,1,1,Real Bed,110,$150.00 ,365,9,98,10,10,10
15578446,Michael,Brooklyn,NY,11235,United States,40.58042461,-73.96015422,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,,$149.00 ,329,0,,,,
59172,Paulina,New York,NY,10026,United States,40.80093343,-73.9547903,Dorm,Private room,2,2,1,1,Real Bed,,$85.00 ,365,11,89,8,8,9
7558447,Diana,New York,NY,10040,United States,40.86543936,-73.92619426,Apartment,Entire home/apt,2,1,1,2,Real Bed,,$90.00 ,359,8,98,8,9,10
3029564,Carri,Brooklyn,NY,11215,United States,40.6680139,-73.98464529,Apartment,Entire home/apt,3,1,1,1,Real Bed,,$110.00 ,154,3,93,9,10,10
6121678,Kamala,Brooklyn,NY,11217,United States,40.67770907,-73.98152219,Apartment,Private room,1,1.5,1,1,Real Bed,,$70.00 ,21,0,,,,
23590420,Ashton,Long Island City,NY,11101,United States,40.74829995,-73.94799179,Apartment,Entire home/apt,3,1,1,1,Real Bed,,$80.00 ,22,1,100,10,10,10
23273183,Laura,Brooklyn,NY,11206,United States,40.69901111,-73.93308655,Apartment,Entire home/apt,3,1,1,2,Real Bed,,$86.00 ,42,0,,,,
588270,Dikla,Brooklyn,NY,11201,United States,40.70215559,-73.98802023,Apartment,Entire home/apt,4,1,2,3,Real Bed,,$189.00 ,39,1,40,8,8,4
1929442,Claudia And Leo,Brooklyn,NY,11238,United States,40.68585325,-73.97016479,Apartment,Entire home/apt,4,2,1,2,Real Bed,,$280.00 ,268,12,97,10,10,10
25042719,Brooklyn,Brooklyn,NY,11215,United States,40.67183897,-73.99144157,Dorm,Shared room,1,1,1,1,Real Bed,,$39.00 ,4,0,,,,
1819355,Hernan Mauricio,Queens,NY,11374,United States,40.72595532,-73.8579586,Apartment,Private room,3,1,1,2,Real Bed,,$65.00 ,336,18,96,10,9,9
16079802,Anna,New York,NY,10011,United States,40.74846369,-74.00031386,Apartment,Entire home/apt,3,1,2,2,Real Bed,,$230.00 ,365,0,,,,
2400932,Keely,Brooklyn,NY,11215,United States,40.67858307,-73.98537418,Apartment,Private room,2,1,1,1,Real Bed,,$70.00 ,364,17,97,10,9,10
2423042,Nitin,New York,NY,10009,United States,40.72304199,-73.97923441,Loft,Entire home/apt,2,1,1,1,Real Bed,,$120.00 ,0,5,96,9,10,10
241678,Vivi,New York,NY,10002,United States,40.71540304,-73.991268,Apartment,Entire home/apt,1,1,0,1,Real Bed,,$155.00 ,29,70,94,9,9,9
6982832,Stephen & Nina,New York,NY,10036,United States,40.77612005,-73.98257184,Apartment,Entire home/apt,5,1,2,2,Real Bed,,$220.00 ,333,43,87,8,9,9
3475005,Yolanda,Brooklyn,NY,11234,United States,40.61406003,-73.92406065,Apartment,Entire home/apt,5,1,1,2,Futon,,$84.00 ,355,76,90,9,8,9
4519429,Heather,New York,NY,10019,United States,40.76704118,-73.98663953,Apartment,Entire home/apt,2,1,0,1,Real Bed,,$199.00 ,220,3,93,10,10,9
10407636,Jenifer,Brooklyn,NY,11221,United States,40.6863685,-73.94191825,Apartment,Entire home/apt,3,1,1,1,Real Bed,,$110.00 ,194,2,90,8,9,10
3009718,Jamila,Brooklyn,NY,11238,United States,40.68514929,-73.95712987,Apartment,Entire home/apt,5,2,2,2,Real Bed,,$199.00 ,365,0,,,,
23427949,Torri,New York,NY,10010,United States,40.73795156,-73.97849936,Apartment,Private room,2,1,1,1,Real Bed,,$125.00 ,365,0,,,,
1367354,Nikki,New York,NY,10027,United States,40.81453854,-73.94839202,Apartment,Entire home/apt,3,1,1,2,Real Bed,,$100.00 ,364,31,88,8,8,9
1360296,Daniela,Brooklyn,NY,11207,United States,40.6768044,-73.89067134,Apartment,Private room,4,2,1,1,Real Bed,,$45.00 ,308,28,99,10,8,9
2899508,Tom & Jennifer,New York,NY,10013,United States,40.72371772,-74.00276736,Loft,Entire home/apt,2,1.5,1,1,Real Bed,,$199.00 ,277,5,100,10,10,9
1338262,Rachel,Brooklyn,NY,11201,United States,40.68468155,-73.99145245,Apartment,Entire home/apt,3,1,0,1,Real Bed,,$150.00 ,355,35,91,9,10,9
