city,zipcode,property_type,room_type,bed_type,location_group,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,price_per_accommodation
105,16,1,1,5,11,40.7320653,-74.00219514,2.0,1.0,2.0,1.0,250.0,168.0,125.0
105,17,1,1,5,11,40.7402482,-73.97730567,2.0,1.0,0.0,1.0,175.0,365.0,87.5
105,10,1,2,5,11,40.7256377,-73.98241149,1.0,1.0,1.0,1.0,65.0,365.0,65.0
33,113,1,1,5,11,40.67640973,-73.95161521,10.0,1.0,4.0,5.0,250.0,355.0,25.0
105,2,1,2,5,11,40.71983034,-73.99553426,2.0,1.0,1.0,1.0,95.0,181.0,47.5
105,13,1,2,5,11,40.74361162,-73.99945868,2.0,1.0,1.0,1.0,165.0,363.0,82.5
120,96,1,1,5,15,40.7634339,-73.92302201,2.0,1.0,1.0,1.0,105.0,338.0,52.5
33,113,1,2,5,11,40.68229049,-73.94286642,2.0,1.0,1.0,1.0,120.0,363.0,60.0
105,10,1,1,5,11,40.72207128,-73.98396256,4.0,1.0,2.0,2.0,270.0,330.0,67.5
33,104,1,1,5,12,40.68811168,-73.91316139,9.0,2.0,4.0,4.0,285.0,347.0,31.666666666666668
105,2,1,2,5,11,40.71628404,-73.99077591,2.0,1.0,1.0,1.0,175.0,365.0,87.5
105,13,1,1,5,11,40.74748333,-74.00570485,2.0,1.0,1.0,2.0,219.0,365.0,109.5
33,126,1,3,5,8,40.61535576,-73.9533768,1.0,1.0,1.0,1.0,33.0,365.0,33.0
33,126,1,3,5,8,40.61541865,-73.95365349,1.0,1.0,1.0,1.0,33.0,362.0,33.0
105,10,1,2,5,11,40.72834109,-73.9775578,2.0,1.0,1.0,1.0,97.0,327.0,48.5
105,3,1,1,5,11,40.72855813,-73.98720616,8.0,1.0,2.0,3.0,349.0,330.0,43.625
33,136,1,2,5,11,40.71270909,-73.96653814,1.0,1.0,1.0,1.0,1400.0,311.0,1400.0
33,127,1,2,5,11,40.68195939,-74.00327336,1.0,1.0,1.0,1.0,50.0,43.0,50.0
28,80,1,1,5,18,40.89298079,-73.86232416,4.0,1.0,2.0,2.0,195.0,365.0,48.75
105,17,1,1,5,11,40.74382485,-73.9812914,8.0,3.5,4.0,4.0,800.0,320.0,100.0
105,10,1,1,5,11,40.72638489,-73.98225494,2.0,1.0,0.0,1.0,175.0,362.0,87.5
105,38,1,1,5,14,40.75979539,-73.9969873,7.0,1.0,2.0,4.0,1000.0,311.0,142.85714285714286
33,103,1,1,5,11,40.70661058,-73.9413427,16.0,2.0,5.0,7.0,450.0,258.0,28.125
33,119,1,2,5,11,40.73306102,-73.95416051,2.0,1.0,1.0,1.0,83.0,343.0,41.5
33,99,1,1,5,11,40.69455942,-73.98456618,2.0,1.0,1.0,1.0,200.0,362.0,100.0
105,14,1,1,5,11,40.72817034,-74.00040534,2.0,1.0,1.0,2.0,220.0,282.0,110.0
105,14,1,1,5,11,40.7247796,-74.00070211,2.0,1.0,1.0,1.0,275.0,355.0,137.5
77,151,11,2,5,15,40.75061878,-73.89398915,6.0,1.0,1.0,2.0,79.0,365.0,13.166666666666666
